id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
5,2,1.9193829762,-0.230402282,-0.5846354683,1.7646899832,-0.4082698851,-0.7292242555
5,2.1,1.9023719716,-0.2396616066,-0.5988694756,1.7515992326,-0.4151433463,-0.7503402353
5,2.2,1.8977276785,-0.2417947566,-0.6026410039,1.7525422587,-0.4246249712,-0.7508594648
5,2.3,1.9038011435,-0.2354298508,-0.6020801132,1.7579582079,-0.4123580446,-0.7566814451
6,0.1,-0.1160121785,-0.1160121861,-0.1160334644,-0.6922833919,-1.1321642513,-1.5551266537
6,0.2,-0.114216597,-0.114216597,-0.1142305587,-0.6911430145,-1.1310238739,-1.5539862763
6,0.3,-0.1079005415,-0.1079005415,-0.1079107191,-0.6893884218,-1.1292693423,-1.5522317446
6,0.4,-0.1007781435,-0.1007781435,-0.1007855593,-0.6892143873,-1.1290952467,-1.5520576491
6,0.5,-0.0969772415,-0.0986402177,-0.0986462297,-0.6881035385,-1.1288086196,-1.5517710219
6,0.6,-0.1037706957,-0.1037706957,-0.1037746401,-0.6871942548,-1.1270751142,-1.5500375166
6,0.7,-0.1027753431,-0.2607598885,-0.4126677681,-0.6859085482,-1.0931541435,-1.4847364678
6,0.8,-0.0986614792,-0.1812152211,-0.2934876011,-0.6870486573,-1.1189922374,-1.5261849453
6,0.9,-0.0976693492,-0.2492974895,-0.2927419098,-0.6878434911,-1.0715983235,-1.4921982147
6,1,-0.0978704016,-0.2432977203,-0.2498091161,-0.6860868662,-1.0412646576,-1.4641762813
6,1.1,-0.1174568711,-0.2381469123,-0.2441701788,-0.685461296,-1.0402252038,-1.4631151148
6,1.2,-0.1056914487,-0.2504422394,-0.2536252019,-0.6847071719,-1.0765525879,-1.4995002254
6,1.3,-0.1165949054,-0.205266511,-0.2129586588,-0.6869305691,-1.0875615225,-1.5103363394
6,1.4,-0.1309630492,-0.1748302471,-0.2008184106,-0.6913230531,-1.121590804,-1.5432991279
6,1.5,-0.1345797069,-0.1681383691,-0.1932121592,-0.6946488088,-1.1318208136,-1.5539499959
6,1.6,-0.1234467281,-0.1817483145,-0.2377035362,-0.6993171726,-1.1292969889,-1.5428756722
6,1.7,-0.0991656082,-0.1370394579,-0.1939999312,-0.702329242,-1.1401063551,-1.5583660966
6,1.8,-0.0688117163,-0.2614432333,-0.4466642689,-0.709966955,-1.0511485941,-1.3792097545
6,1.9,-0.0460621829,-0.0564061215,-0.0667090759,-0.7190704465,-1.1543283947,-1.5714565583
6,2,-0.0381478217,-0.0387711576,-0.0349425129,-0.7240394266,-1.1626804186,-1.5821967007
6,2.1,-0.0291452565,-0.0282146565,-0.0189903557,-0.7237628704,-1.1633167022,-1.5843436573
6,2.2,-0.03106473,-0.0302606007,-0.0201134377,-0.7236566216,-1.1634516338,-1.5853550949
6,2.3,-0.0419663716,-0.0477485285,-0.0533082481,-0.7172634945,-1.0871920843,-1.442892344
6,2.4,-0.0628290523,-0.0644286359,-0.0658641477,-0.7110504223,-1.1508000171,-1.5734801363
6,2.5,-0.0803453098,-0.0806316918,-0.0796184975,-0.7056955533,-1.1455416633,-1.5683430122
6,2.6,-0.0957497832,-0.2766653905,-0.474496882,-0.6990226854,-1.0977065577,-1.4685528006
6,2.7,-0.1369145717,-0.2383746645,-0.354556218,-0.7023034459,-1.1220854185,-1.5220678665
6,2.8,-0.143495453,-0.1954720132,-0.2960067634,-0.7036468047,-1.140249697,-1.5506434442
6,2.9,-0.115520195,-0.1495260787,-0.2350376129,-0.6966042404,-1.1351295915,-1.5493328553
6,3,-0.1020040231,-0.1196280016,-0.1835511138,-0.7026916861,-1.1422154966,-1.5602679627
6,3.1,-0.0891467483,-0.0963969297,-0.1380633499,-0.6998303483,-1.1396512728,-1.5604266251
6,3.2,-0.0875989164,-0.091314408,-0.1212413013,-0.6988891818,-1.1387542947,-1.5605403912
6,3.3,-0.0890037583,-0.091382359,-0.1153650045,-0.6982458679,-1.1381202579,-1.5603072368
6,3.4,-0.0890037583,-0.091382359,-0.1153650045,-0.6982458679,-1.1381202579,-1.5603072368
6,3.5,-0.0890037583,-0.091382359,-0.1153650045,-0.6982458679,-1.1381202579,-1.5603072368
7,0.1,2.3629242022,0.2457475253,-0.5164588748,2.3548356839,0.2091530132,-0.7904183178
7,0.2,2.3656383206,0.2457403637,-0.5145509258,2.3530895973,0.2092298195,-0.7883852913
7,0.3,2.3621280945,0.2457588902,-0.5069596043,2.3566652907,0.2134516192,-0.7814997454
7,0.4,2.3651142242,0.2399289756,-0.5003518272,2.3612978838,0.2126938084,-0.7755184392
7,0.5,2.3658439857,0.2277634205,-0.5056719288,2.3623296141,0.2088746746,-0.7814975689
7,0.6,2.3717322072,0.2192722922,-0.5038442221,2.3663391424,0.2084323371,-0.780095362
7,0.7,2.3767535088,0.2087856926,-0.4976014427,2.3673970442,0.2035904678,-0.773927153
7,0.8,2.3759760065,0.1836130365,-0.4994768061,2.3452963528,0.1700709927,-0.7696783535
7,0.9,2.3795584474,0.1543282749,-0.4837019779,2.2939868553,0.1357640415,-0.7177119785
7,1,2.3073474139,0.1239551535,-0.5402128211,2.1567543874,0.0106316786,-0.7224494505
7,1.1,2.2175212096,0.0775220843,-0.5290067416,2.0392901125,-0.0964452299,-0.674657332
7,1.2,2.1476817018,0.0337578507,-0.4813306733,1.9695636458,-0.1671940593,-0.5863959065
7,1.3,2.0937301378,-0.0143513333,-0.4367734073,1.9131651877,-0.2225010902,-0.5143715294
7,1.4,2.039899769,-0.0654046393,-0.4008016824,1.8586123535,-0.2806637052,-0.4667764193
7,1.5,1.9926018926,-0.1093589604,-0.3850715587,1.8118920461,-0.3284929783,-0.4401064784
7,1.6,1.9511671047,-0.1502226151,-0.385470607,1.780389876,-0.3770960298,-0.4480860991
7,1.7,1.9187216177,-0.183366411,-0.3996552412,1.7562807857,-0.4110747256,-0.4710171323
7,1.8,1.8961381454,-0.2033412101,-0.4131539986,1.73618485,-0.4322453621,-0.4890345146
7,1.9,1.9047100988,-0.1929608381,-0.4213003008,1.7423340442,-0.4121783535,-0.4956090611
7,2,1.9131773206,-0.1772630531,-0.4228485192,1.7477560842,-0.3883987315,-0.4933691823
7,2.1,1.9082218618,-0.1776159613,-0.4271389368,1.7452149315,-0.3895571271,-0.4986102008
7,2.2,1.8981691235,-0.181905137,-0.4325075827,1.7372321501,-0.3955782135,-0.5027975799
7,2.3,1.8937156422,-0.1852614156,-0.4331466044,1.735198713,-0.4002994734,-0.5047547868
7,2.4,1.8902488651,-0.1902203517,-0.4327219701,1.735455677,-0.4063002965,-0.5091183132
